T(K),Z*10^-4reported,Resist.(Ohm.cm),Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),Conduct.(S/cm),CellVolume(A^3),FormulaUnitsperCell,Atomsperformulaunit,totalatomsperunitcell
400,0.85,0.000589,-46.6,1.47E-01,23.73,-50.67,3.69E-04,0.057160606,2.58,1.70E+03,893.06,4,7,28
700,0.85,0.000802,-67.6,3.99E-01,23.73,-50.67,5.70E-04,0.146638551,2.72,1.25E+03,893.06,4,7,28
1000,0.85,0.00103,-87.8,7.48E-01,23.73,-50.67,7.48E-04,0.281365063,2.66,9.71E+02,893.06,4,7,28
300,0.85,0.0011,-53,7.66E-02,23.73,-50.67,2.55E-04,0.037370288,2.05,9.09E+02,893.06,4,7,28
400,0.85,0.00137,-58,9.82E-02,23.73,-50.67,2.46E-04,0.047679116,2.06,7.30E+02,893.06,4,7,28
700,0.85,0.00187,-87.2,2.85E-01,23.73,-50.67,4.07E-04,0.143755415,1.98,5.35E+02,893.06,4,7,28
1000,0.85,0.00225,-117.3,6.12E-01,23.73,-50.67,6.12E-04,0.330553514,1.85,4.44E+02,893.06,4,7,28
300,0.85,0.018,-91,1.38E-02,23.73,-50.67,4.60E-05,0.009388889,1.47,5.56E+01,893.06,4,7,28
400,0.85,0.00135,-89.9,2.39E-01,23.73,-50.67,5.99E-04,0.176078649,1.36,7.41E+02,893.06,4,7,28
700,0.85,0.00721,-159.3,2.46E-01,23.73,-50.67,3.52E-04,0.210575803,1.17,1.39E+02,893.06,4,7,28
1000,0.85,0.00687,-221.2,7.12E-01,23.73,-50.67,7.12E-04,0.721599719,0.987,1.46E+02,893.06,4,7,28
300,0.85,0.0071,-71,2.13E-02,23.73,-50.67,7.10E-05,0.010828673,1.967,1.41E+02,893.06,4,7,28
400,0.85,0.00535,-69.5,3.61E-02,23.73,-50.67,9.03E-05,0.019734436,1.83,1.87E+02,893.06,4,7,28
700,0.85,0.00437,-130.6,2.73E-01,23.73,-50.67,3.90E-04,0.175137182,1.56,2.29E+02,893.06,4,7,28
1000,0.85,0.00527,-185.2,6.51E-01,23.73,-50.67,6.51E-04,0.475062535,1.37,1.90E+02,893.06,4,7,28
300,0.85,0.00061,-40.87,8.21E-02,23.73,-50.67,2.74E-04,0.03339378,2.46,1.64E+03,893.06,4,7,28
400,0.85,0.00061,-41.6,1.13E-01,23.73,-50.67,2.84E-04,0.043562128,2.605,1.64E+03,893.06,4,7,28
700,0.85,0.000802,-57.6,2.90E-01,23.73,-50.67,4.14E-04,0.101964806,2.84,1.25E+03,893.06,4,7,28
1000,0.85,0.000974,-74.7,5.73E-01,23.73,-50.67,5.73E-04,0.199618299,2.87,1.03E+03,893.06,4,7,28
300,0.85,0.0027,-41,1.87E-02,23.73,-50.67,6.23E-05,0.015062724,1.24,3.70E+02,893.06,4,7,28
400,0.85,0.00268,-89,1.18E-01,23.73,-50.67,2.96E-04,0.101046052,1.17,3.73E+02,893.06,4,7,28
700,0.85,0.00425,-159,4.16E-01,23.73,-50.67,5.95E-04,0.416392941,1,2.35E+02,893.06,4,7,28
1000,0.85,0.00639,-215,7.23E-01,23.73,-50.67,7.23E-04,0.810073831,0.893,1.56E+02,893.06,4,7,28
300,0.85,0.296735905,-210,4.46E-03,23.73,-50.67,1.49E-05,0.001603781,2.78,3.37E+00,47.62,2,2,4
400,0.85,0.194552529,-220,9.95E-03,23.73,-50.67,2.49E-05,0.003703402,2.687,5.14E+00,47.62,2,2,4
700,0.85,0.065316786,-268,7.70E-02,23.73,-50.67,1.10E-04,0.033716067,2.283,1.53E+01,47.62,2,2,4
1000,0.85,0.012271444,-316,8.14E-01,23.73,-50.67,8.14E-04,0.426280342,1.9089,8.15E+01,47.62,2,2,4
300,0.85,0.00282598,-92.4,9.06E-02,23.73,-50.67,3.02E-04,0.054370144,1.667,3.54E+02,610.4,5,9,45
300,0.85,0.10502047,-186,9.88E-03,23.73,-50.67,3.29E-05,0.005928401,1.667,9.52E+00,610.4,5,9,45
400,0.85,0.014613639,-194,1.03E-01,23.73,-50.67,2.58E-04,0.050985445,2.0205,6.84E+01,610.4,5,9,45
700,0.85,0.0014,-201,2.02E+00,23.73,-50.67,2.89E-03,0.930169913,2.1717,7.14E+02,610.4,5,9,45
300,0.85,0.061881188,-220,2.35E-02,23.73,-50.67,7.82E-05,0.014075777,1.667,1.62E+01,610.4,5,9,45
400,0.85,0.016225864,-220,1.19E-01,23.73,-50.67,2.98E-04,0.059052551,2.0205,6.16E+01,610.4,5,9,45
700,0.85,0.008,-216,4.08E-01,23.73,-50.67,5.83E-04,0.187981765,2.1717,1.25E+02,610.4,5,9,45
300,0.85,0.00114,-19,9.50E-03,23.73,-50.67,3.17E-05,0.003877551,2.45,8.77E+02,735.99,2,26,52
300,0.85,0.005,-107,6.87E-02,23.73,-50.67,2.29E-04,0.038163333,1.8,2.00E+02,597.36,4,11,44
300,0.85,0.001178241,120.75,3.71E-01,23.73,-50.67,1.24E-03,0.151567098,2.44922,8.49E+02,169.78,4,2,8
400,0.85,0.001291918,138.43,5.93E-01,23.73,-50.67,1.48E-03,0.235493287,2.51953,7.74E+02,169.78,4,2,8
700,0.85,0.001787074,191.49,1.44E+00,23.73,-50.67,2.05E-03,0.55966257,2.56641,5.60E+02,169.78,4,2,8
1000,0.85,0.002484145,231.64,2.16E+00,23.73,-50.67,2.16E-03,0.845526008,2.55469,4.03E+02,169.78,4,2,8
