id,TK,SeebeckuVK,kappaZT,Resist.400K,Seebeck400K,PfWK2m,ZT,kappaWmK,CellVolumeA3,FormulaUnitsperCell
0,578.58,-41.84,0.41,23.73,-50.67,0.00,0.20,4.22,452.18,4.08
1,300,-462.97,1.29E-04,50,-462.97,4.29E-07,0.20,4.22,206.97,4
2,400,-462.97,1.71E-04,50,-462.97,4.29E-07,0.20,4.22,206.97,4
3,700,-470.65,6.41E-03,50,-462.97,9.16E-06,0.20,4.22,206.97,4
4,1000,-279.83,4.41E-02,50,-462.97,4.41E-05,0.20,4.22,206.97,4
5,300,-201.71,2.65E-02,0.046115,-201.71,8.82E-05,0.20,4.22,207.74,4
6,400,-201.71,3.53E-02,0.046115,-201.71,8.82E-05,0.20,4.22,207.74,4
7,700,-224.12,5.41E-02,0.046115,-201.71,7.72E-05,0.20,4.22,207.74,4
8,1000,-190.18,8.80E-02,0.046115,-201.71,8.80E-05,0.20,4.22,207.74,4
9,300,-123.59,3.00E-02,0.015256,-123.59,1.00E-04,0.20,4.22,208.49,4
10,400,-123.59,4.00E-02,0.015256,-123.59,1.00E-04,0.20,4.22,208.49,4
11,700,-173.53,9.72E-02,0.015256,-123.59,1.39E-04,0.20,4.22,208.49,4
12,1000,-160.09,1.15E-01,0.015256,-123.59,1.15E-04,0.20,4.22,208.49,4
13,300,-103.74,2.65E-02,0.012167,-103.74,8.84E-05,0.20,4.22,209.24,4
14,400,-103.74,3.54E-02,0.012167,-103.74,8.84E-05,0.20,4.22,209.24,4
15,700,-127.43,6.68E-02,0.012167,-103.74,9.54E-05,0.20,4.22,209.24,4
16,1000,-135.75,9.78E-02,0.012167,-103.74,9.78E-05,0.20,4.22,209.24,4
17,300,-83.24,2.09E-02,0.009966,-83.24,6.95E-05,0.20,4.22,209.93,4
18,400,-83.24,2.78E-02,0.009966,-83.24,6.95E-05,0.20,4.22,209.93,4
19,700,-118.46,7.21E-02,0.009966,-83.24,1.03E-04,0.20,4.22,209.93,4
20,1000,-140.88,1.26E-01,0.009966,-83.24,1.26E-04,0.20,4.22,209.93,4
21,700,483.47,1.07E-04,23.73,-50.67,1.53E-07,0.20,4.22,72.93,4
22,1000,642.62,2.82E-03,23.73,-50.67,2.82E-06,0.20,4.22,72.93,4
23,400,294.97,1.21E-04,28.867694,294.97,3.01E-07,7.46E-06,16.1715,72.93,4
24,700,249.75,1.66E-02,28.867694,294.97,2.37E-05,0.001458067,11.391,72.93,4
25,1000,262.41,1.48E-01,28.867694,294.97,1.48E-04,0.017497599,8.44401,72.93,4
26,400,249.37,4.89E-04,5.08647,249.37,1.22E-06,5.87E-05,8.32761,72.93,4
27,700,200.39,8.89E-02,5.08647,249.37,1.27E-04,0.014790072,6.0105,72.93,4
28,1000,206.66,1.50E-01,5.08647,249.37,1.50E-04,0.02826674,5.30518,72.93,4
29,400,116.91,8.51E-03,0.064272,116.91,2.13E-05,0.20,4.22,72.93,4
30,700,97.88,3.39E-02,0.064272,116.91,4.84E-05,0.20,4.22,72.93,4
31,1000,105.17,1.66E-01,0.064272,116.91,1.66E-04,0.20,4.22,72.93,4
32,400,102.59,3.41E-02,0.012343,102.59,8.53E-05,0.009093419,3.75078,72.93,4
33,700,77.37,8.61E-02,0.012343,102.59,1.23E-04,0.024636562,3.49599,72.93,4
34,1000,79.49,1.63E-01,0.012343,102.59,1.63E-04,0.063968983,2.54979,72.93,4
35,300,-572.04,1.96E-03,2.925075,-549.12,6.53E-06,0.20,4.22,206.97,4
36,400,-549.12,4.12E-03,2.925075,-549.12,1.03E-05,0.001247231,3.30607,206.97,4
37,700,-477.48,2.48E-02,2.925075,-549.12,3.54E-05,0.012122034,2.04673,206.97,4
38,1000,-406.81,1.50E-01,2.925075,-549.12,1.50E-04,0.089158798,1.67874,206.97,4
39,300,-100.04,1.48E-02,0.021537,-119.21,4.92E-05,0.005877928,2.51281,206.97,4
40,400,-119.21,2.64E-02,0.021537,-119.21,6.60E-05,0.011603063,2.27454,206.97,4
41,700,-184.31,9.18E-02,0.021537,-119.21,1.31E-04,0.048845628,1.87848,206.97,4
42,1000,-205.16,1.58E-01,0.021537,-119.21,1.58E-04,0.091024352,1.73598,206.97,4
43,300,-91.19,2.81E-02,0.009824,-114.15,9.38E-05,0.012410311,2.2675,206.97,4
44,400,-114.15,5.31E-02,0.009824,-114.15,1.33E-04,0.024563669,2.16005,206.97,4
45,700,-164.08,1.51E-01,0.009824,-114.15,2.15E-04,0.080246985,1.8785,206.97,4
46,1000,-172.3,2.04E-01,0.009824,-114.15,2.04E-04,0.120991889,1.6869,206.97,4
47,300,-72.23,2.14E-02,0.007258,-72.44,7.12E-05,0.20,4.22,206.97,4
48,400,-72.44,2.89E-02,0.007258,-72.44,7.23E-05,0.20,4.22,206.97,4
49,700,-80.65,5.97E-02,0.007258,-72.44,8.52E-05,0.20,4.22,206.97,4
50,1000,-92.67,1.03E-01,0.007258,-72.44,1.03E-04,0.20,4.22,206.97,4
