T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),T Max,,,Conduct. (S/cm),,Power Factor*T (W/mK),Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,temp of ICSD (K),S,ke/ktotal,
700,0.85,0.004865541,77.37,8.61E-02,0.10041222,0.012343,102.59,1.23E-04,0.024636562,3.49599,0.61,0.10041222,0.10041222,2.06E+02,0.10041222,8.61E-02,72.93,4,2,8,9.11625,300,5.99E+03,0.10041222,0.10041222
1000,0.85,0.003874392,79.49,1.63E-01,0.246991399,0.012343,102.59,1.63E-04,0.063968983,2.54979,0.61,0.246991399,0.246991399,2.58E+02,0.246991399,1.63E-01,72.93,4,2,8,9.11625,300,6.32E+03,0.24699,0.246991399
300,0.85,5.007604258,-572.04,1.96E-03,0.91,2.925075,-549.12,6.53E-06,0.20,4.22,0.61,0.91,0.91,2.00E-01,0.91,1.96E-03,206.97,4,5,20,10.3485,300,3.27E+05,0.91,0.91
400,0.85,2.925074959,-549.12,4.12E-03,0.000100925,2.925075,-549.12,1.03E-05,0.001247231,3.30607,0.61,0.000100925,0.000100925,3.42E-01,0.000100925,4.12E-03,206.97,4,5,20,10.3485,300,3.02E+05,0.00010093,0.000100925
700,0.85,0.643244379,-477.48,2.48E-02,0.001297333,2.925075,-549.12,3.54E-05,0.012122034,2.04673,0.61,0.001297333,0.001297333,1.55E+00,0.001297333,2.48E-02,206.97,4,5,20,10.3485,300,2.28E+05,0.00129733,0.001297333
1000,0.85,0.110571194,-406.81,1.50E-01,0.013145115,2.925075,-549.12,1.50E-04,0.089158798,1.67874,0.61,0.013145115,0.013145115,9.04E+00,0.013145115,1.50E-01,206.97,4,5,20,10.3485,300,1.66E+05,0.013145,0.013145115
300,0.85,0.02032591,-100.04,1.48E-02,0.014331823,0.021537,-119.21,4.92E-05,0.005877928,2.51281,0.61,0.014331823,0.014331823,4.92E+01,0.014331823,1.48E-02,206.97,4,5,20,10.3485,300,1.00E+04,0.01433,0.014331823
400,0.85,0.021537238,-119.21,2.64E-02,0.019923528,0.021537,-119.21,6.60E-05,0.011603063,2.27454,0.61,0.019923528,0.019923528,4.64E+01,0.019923528,2.64E-02,206.97,4,5,20,10.3485,300,1.42E+04,0.019923,0.019923528
700,0.85,0.025914331,-184.31,9.18E-02,0.0350866,0.021537,-119.21,1.31E-04,0.048845628,1.87848,0.61,0.0350866,0.0350866,3.86E+01,0.0350866,9.18E-02,206.97,4,5,20,10.3485,300,3.40E+04,0.03508,0.0350866
1000,0.85,0.026637901,-205.16,1.58E-01,0.052764899,0.021537,-119.21,1.58E-04,0.091024352,1.73598,0.61,0.052764899,0.052764899,3.75E+01,0.052764899,1.58E-01,206.97,4,5,20,10.3485,300,4.21E+04,0.05276,0.052764899
300,0.85,0.008864209,-91.19,2.81E-02,0.036418645,0.009824,-114.15,9.38E-05,0.012410311,2.2675,0.61,0.036418645,0.036418645,1.13E+02,0.036418645,2.81E-02,206.97,4,5,20,10.3485,300,8.31E+03,0.036418,0.036418645
